Order,PID,MS_SubClass,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Neighborhood,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Central_Air,Electrical,SF_1st_Flr,SF_2nd_Flr,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Ssn3_Porch,Screen_Porch,Fence,Misc_Val,Mo_Sold,Yr_Sold,SaleCondition,SalePrice
31,527451330,160,21,1680,Reg,Lvl,Inside,BrDale,Twnhs,2Story,5,5,1971,1971,Gable,HdBoard,TA,TA,CBlock,TA,TA,No,Rec,300,225,525,Y,SBrkr,525,567,1092,0,0,1,1,3,TA,6,0,NA,Detchd,1997,Unf,1,320,TA,TA,0,0,0,0,0,NA,0,3,2010,Normal,105500
32,527451410,160,21,1680,Reg,Lvl,Inside,BrDale,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,TA,TA,CBlock,TA,TA,No,Unf,0,525,525,Y,SBrkr,525,567,1092,0,0,1,1,3,TA,6,0,NA,Detchd,1971,Unf,1,264,TA,TA,0,0,0,0,0,NA,0,3,2010,Family,88000
33,527452190,120,53,4043,Reg,Lvl,Inside,NPkVill,TwnhsE,1Story,6,5,1977,1977,Gable,Plywood,TA,TA,CBlock,Gd,TA,No,ALQ,360,709,1069,Y,SBrkr,1069,0,1069,0,0,2,0,2,TA,4,1,Fa,Attchd,1977,RFn,2,440,TA,TA,0,55,0,0,165,NA,0,7,2010,Normal,127500
34,527453130,160,24,2280,Reg,Lvl,FR2,NPkVill,Twnhs,2Story,6,6,1975,1975,Gable,Plywood,TA,TA,CBlock,TA,TA,No,ALQ,514,341,855,Y,SBrkr,855,601,1456,0,0,2,1,3,Gd,6,1,TA,Attchd,1975,Unf,2,440,TA,TA,173,0,0,0,0,NA,0,6,2010,Normal,149900
35,527453150,120,24,2280,Reg,Lvl,FR2,NPkVill,Twnhs,1Story,7,6,1975,1975,Gable,Plywood,TA,TA,CBlock,Gd,TA,No,Unf,0,836,836,Y,SBrkr,836,0,836,0,0,1,0,2,TA,4,0,NA,Attchd,1975,Unf,1,308,TA,TA,0,30,0,0,0,NA,0,6,2010,Normal,120000
36,527454200,160,24,2280,Reg,Lvl,Inside,NPkVill,Twnhs,2Story,6,5,1978,1978,Gable,Plywood,TA,TA,CBlock,Gd,TA,No,ALQ,311,544,855,Y,SBrkr,855,601,1456,0,0,2,1,3,TA,7,1,TA,Attchd,1978,Unf,2,440,TA,TA,26,0,0,0,0,NA,0,7,2010,Normal,146000
37,528108120,60,102,12858,IR1,Lvl,Inside,NridgHt,1Fam,2Story,9,5,2009,2010,Gable,VinylSd,Ex,TA,PConc,Ex,TA,No,Unf,0,1590,1590,Y,SBrkr,1627,707,2334,0,0,2,1,3,Ex,10,1,Gd,Attchd,2009,Fin,3,751,TA,TA,144,133,0,0,0,NA,0,1,2010,Partial,376162
38,528112020,20,98,11478,Reg,Lvl,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,1218,486,1704,Y,SBrkr,1704,0,1704,1,0,2,0,3,Gd,7,1,Gd,Attchd,2008,RFn,3,772,TA,TA,0,50,0,0,0,NA,0,5,2010,Normal,306000
39,528120060,20,83,10159,IR1,Lvl,Inside,NridgHt,1Fam,1Story,9,5,2009,2010,Hip,VinylSd,Ex,TA,PConc,Ex,TA,Av,GLQ,1646,284,1930,Y,SBrkr,1940,0,1940,1,0,2,1,3,Ex,8,1,Gd,Attchd,2010,Fin,3,606,TA,TA,168,95,0,0,0,NA,0,4,2010,Partial,395192
40,528120090,20,94,12883,IR1,Lvl,Corner,NridgHt,1Fam,1Story,8,5,2009,2010,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1544,1544,Y,SBrkr,1544,0,1544,0,0,2,0,3,Gd,7,0,NA,Attchd,2009,RFn,3,868,TA,TA,0,35,0,0,0,NA,0,6,2010,Partial,290941
41,528120100,20,95,12182,Reg,Lvl,Corner,NridgHt,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201,340,1541,Y,SBrkr,1541,0,1541,0,0,2,0,3,Gd,7,1,Gd,Attchd,2005,RFn,2,532,TA,TA,0,70,0,0,0,NA,0,5,2010,Partial,220000
42,528120120,20,90,11520,Reg,Lvl,Inside,NridgHt,1Fam,1Story,9,5,2005,2005,Hip,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,110,1588,1698,Y,SBrkr,1698,0,1698,0,0,2,0,3,Ex,7,1,Gd,Attchd,2005,Fin,3,730,TA,TA,192,74,0,0,0,NA,0,6,2010,Normal,275000
43,528138020,20,79,14122,IR1,Lvl,Inside,NridgHt,1Fam,1Story,8,5,2005,2006,Hip,CemntBd,Gd,TA,PConc,Ex,TA,No,GLQ,28,1794,1822,Y,SBrkr,1822,0,1822,0,0,2,0,3,Ex,8,1,Gd,Attchd,2005,RFn,3,678,TA,TA,0,119,0,0,0,NA,0,2,2010,Normal,259000
44,528138060,20,70,10171,IR1,Lvl,Inside,NridgHt,1Fam,1Story,7,5,2004,2004,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,2,1515,1517,Y,SBrkr,1535,0,1535,0,0,2,0,3,Gd,7,0,NA,Attchd,2004,RFn,2,532,TA,TA,0,0,0,0,0,NA,0,3,2010,Normal,214000
45,528150070,20,100,12919,IR1,Lvl,Inside,NridgHt,1Fam,1Story,9,5,2009,2010,Hip,VinylSd,Ex,TA,PConc,Ex,TA,Gd,GLQ,2188,142,2330,Y,SBrkr,2364,0,2364,1,0,2,1,2,Ex,11,2,Gd,Attchd,2009,Fin,3,820,TA,TA,0,67,0,0,0,NA,0,3,2010,Partial,611657
46,528175010,120,44,6371,IR1,Lvl,Inside,NridgHt,TwnhsE,1Story,7,5,2009,2010,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Mn,GLQ,733,625,1358,Y,SBrkr,1358,0,1358,1,0,2,0,2,Gd,6,1,Gd,Attchd,2010,RFn,2,484,TA,TA,192,35,0,0,0,NA,0,6,2010,Partial,224000
47,528176010,20,110,14300,Reg,HLS,Inside,NridgHt,1Fam,1Story,9,5,2003,2004,Hip,VinylSd,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,1473,2846,Y,SBrkr,2696,0,2696,1,0,2,1,3,Ex,10,2,Gd,Attchd,2003,Fin,3,958,TA,TA,220,150,0,0,0,NA,0,6,2010,Normal,500000
48,528176070,60,105,13650,Reg,Lvl,Corner,NridgHt,1Fam,2Story,8,5,2002,2002,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,1093,1671,Y,SBrkr,1687,563,2250,1,0,2,1,3,Gd,7,1,Ex,Attchd,2002,Fin,3,756,TA,TA,238,130,0,0,0,NA,0,6,2010,Normal,320000
49,528180070,120,61,7658,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,Ex,TA,PConc,Ex,TA,No,GLQ,456,1296,1752,Y,SBrkr,1752,0,1752,1,0,2,0,2,Ex,6,1,Gd,Attchd,2005,RFn,2,576,TA,TA,196,82,0,0,0,NA,0,2,2010,Normal,319900
50,528181050,120,41,7132,IR1,Lvl,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,1346,1370,Y,SBrkr,1370,0,1370,0,0,2,0,2,Gd,6,1,Gd,Attchd,2006,RFn,2,484,TA,TA,120,49,0,0,0,NA,0,4,2010,Normal,205000
51,528188120,160,36,2628,Reg,Lvl,Inside,NridgHt,Twnhs,2Story,7,5,2003,2003,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,764,764,Y,SBrkr,764,862,1626,0,0,2,1,2,Gd,6,0,NA,BuiltIn,2003,RFn,2,474,TA,TA,0,27,0,0,0,NA,0,6,2010,Normal,175500
52,528218150,20,100,18494,IR1,Lvl,Corner,Gilbert,1Fam,1Story,6,5,2005,2005,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1324,1324,Y,SBrkr,1324,0,1324,0,0,2,0,3,Gd,6,0,NA,Attchd,2005,Fin,2,430,TA,TA,36,23,0,0,0,NA,0,1,2010,Normal,199500
53,528228285,120,43,3203,Reg,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,16,1129,1145,Y,SBrkr,1145,0,1145,0,0,2,0,2,Gd,6,0,NA,Attchd,2006,Fin,2,437,TA,TA,100,116,0,0,0,NA,0,1,2010,Normal,160000
54,528228440,120,43,3182,Reg,Lvl,Inside,Blmngtn,TwnhsE,1Story,8,5,2004,2005,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,24,1232,1256,Y,SBrkr,1269,0,1269,0,0,2,0,2,Gd,6,1,TA,Attchd,2004,Fin,2,430,TA,TA,146,20,0,0,144,NA,0,4,2010,Normal,192000
55,528231020,80,67,13300,IR1,Lvl,Inside,Gilbert,1Fam,SLvl,7,5,2004,2004,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,326,58,384,Y,SBrkr,744,630,1374,1,0,2,1,3,Gd,7,1,Gd,BuiltIn,2004,Fin,2,400,TA,TA,100,0,0,0,0,NA,0,6,2010,Normal,184500
56,528240070,60,,7851,Reg,Lvl,Inside,Gilbert,1Fam,2Story,6,5,2002,2002,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,625,235,860,Y,SBrkr,860,1100,1960,1,0,2,1,4,Gd,8,2,TA,BuiltIn,2002,Fin,2,440,TA,TA,288,48,0,0,0,NA,0,5,2010,Normal,216500
57,528240130,60,63,8577,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,847,847,Y,SBrkr,847,886,1733,0,0,2,1,3,Gd,7,1,Gd,BuiltIn,2004,Fin,2,433,TA,TA,144,48,0,0,0,NA,0,4,2010,Normal,185088
58,528250100,80,,7750,IR1,Lvl,Inside,Gilbert,1Fam,SLvl,7,5,2000,2000,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,GLQ,250,134,384,Y,SBrkr,774,656,1430,0,0,2,1,3,TA,7,1,TA,BuiltIn,2000,Fin,2,400,TA,TA,180,0,0,0,0,NA,0,4,2010,Normal,180000
59,528292020,60,,9505,IR1,Lvl,CulDSac,Gilbert,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,884,884,Y,SBrkr,884,1151,2035,0,0,2,1,3,Gd,8,1,Gd,BuiltIn,2001,Fin,2,434,TA,TA,144,48,0,0,0,NA,0,5,2010,Normal,222500
60,528328100,60,108,14774,IR1,Lvl,Corner,NoRidge,1Fam,2Story,9,5,1999,1999,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1393,1393,Y,SBrkr,1422,1177,2599,0,0,2,1,4,Gd,10,1,TA,BuiltIn,1999,Fin,3,779,TA,TA,668,30,0,0,0,NA,0,5,2010,Normal,333168
61,528344070,60,60,17433,IR2,Lvl,CulDSac,NoRidge,1Fam,2Story,8,5,1998,1998,Hip,VinylSd,Gd,TA,PConc,Ex,TA,No,Unf,0,1629,1629,Y,SBrkr,1645,830,2475,0,0,2,1,4,Gd,7,1,TA,Attchd,1998,Fin,3,962,TA,TA,23,172,0,0,256,NA,0,1,2010,Normal,355000
62,528358010,20,59,10593,IR1,Lvl,Inside,NoRidge,1Fam,1Story,7,5,1996,1996,Hip,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,919,801,1720,Y,SBrkr,1720,0,1720,1,0,2,0,3,Gd,7,1,TA,Attchd,1996,Fin,2,527,TA,TA,240,56,154,0,0,NA,0,3,2010,Normal,260400
63,528363130,60,98,12256,IR1,Lvl,Corner,NoRidge,1Fam,2Story,8,5,1994,1995,Gable,HdBoard,Gd,TA,PConc,Ex,TA,Av,GLQ,1032,431,1463,Y,SBrkr,1500,1122,2622,1,0,2,1,3,Gd,9,2,TA,Attchd,1994,RFn,2,712,TA,TA,186,32,0,0,0,NA,0,4,2010,Normal,325000
64,528382020,60,92,11764,IR1,Lvl,CulDSac,NoRidge,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,524,628,1152,Y,SBrkr,1164,1106,2270,0,0,2,1,4,Gd,9,1,Gd,Attchd,1999,Fin,3,671,TA,TA,132,57,0,0,0,NA,0,4,2010,Normal,290000
65,528382030,60,58,16770,IR2,Lvl,CulDSac,NoRidge,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1195,1195,Y,SBrkr,1195,644,1839,0,0,2,1,4,TA,7,0,NA,Attchd,1998,Fin,2,486,TA,TA,0,81,0,0,0,NA,0,6,2010,Normal,221000
66,528386040,50,56,14720,IR1,Lvl,CulDSac,NoRidge,1Fam,1.5Fin,8,5,1995,1996,Hip,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,816,1217,2033,Y,SBrkr,2053,1185,3238,1,0,2,1,4,Gd,9,1,Ex,Attchd,1996,Fin,3,666,TA,TA,283,86,0,0,0,NA,0,3,2010,Normal,410000
67,528445060,20,73,8987,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2005,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,,Unf,0,1595,1595,Y,SBrkr,1595,0,1595,0,0,2,0,2,Gd,6,1,Gd,Attchd,2005,RFn,3,880,TA,TA,144,0,0,0,0,NA,0,5,2010,Normal,221500
68,528456160,20,92,9215,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2009,2010,Hip,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1218,1218,Y,SBrkr,1218,0,1218,0,0,2,0,2,Gd,4,0,NA,Attchd,2009,RFn,2,676,TA,TA,0,136,0,0,0,NA,0,4,2010,Partial,204500
69,528458070,60,72,8640,Reg,Lvl,Inside,Somerst,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,TA,TA,PConc,Gd,TA,Mn,GLQ,24,732,756,Y,SBrkr,764,783,1547,0,0,2,1,3,Gd,7,0,NA,Attchd,2009,Unf,2,614,TA,TA,169,45,0,0,0,NA,0,6,2010,Normal,215200
70,528458110,20,75,9000,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2008,2008,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,1078,488,1566,Y,SBrkr,1566,0,1566,1,0,2,0,3,Gd,7,0,NA,Attchd,2008,RFn,2,750,TA,TA,144,168,0,0,0,NA,0,4,2010,Normal,262500
71,528477080,60,100,12552,Reg,Lvl,Corner,Somerst,1Fam,2Story,7,5,2004,2005,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,222,769,991,Y,SBrkr,991,956,1947,0,0,2,1,3,Gd,8,1,Gd,Attchd,2004,RFn,2,678,TA,TA,0,136,0,0,0,GdWo,0,5,2010,Normal,254900
